Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Chandigarh	Retail	Jewellery	Jaipur Diamonds	15% discount on 'Making Charges'    "September 15, 2013"    "September 14, 2014"
Hamirpur	Hotels	Restaurant	Hotel Paradise	20% discount  on food   "September 15, 2013"	"September 14, 2014"
Chandigarh	Health & Wellness	Salon	Beauty Retreat	25 % discount	"September 15, 2013"	"September 14, 2014"
Kangra	Retail	Jewellery	Chuni Lal Kawal Krishan	15% discount on Making Charges	"September 15, 2013"	"September 14, 2014"
Chandigarh	Retail	Electronics	Dynamic Technologies	Flat 15% discount	"September 15, 2013"	"September 14, 2014"
Phagwara	Hotels	Hotel	Ashish Continental	Flat 20% discount	"September 15, 2013"	"September 14, 2014"
Phagwara	Retail	Bakery	Lee Bakers	Flat 10% discount	"September 15, 2013"	"September 14, 2014"
Yamuna Nagar	Health & Wellness	Salon	Looks Loreal	Flat 15% discount	"September 15, 2013"	"September 14, 2014"
Karnal	Retail	Footwear	Foots	20% discount	"September 15, 2013"	"September 14, 2014"
Bhiwani	Hotels	Restaurant	Punjabi Handi	15% discount on food	"September 15, 2013"	"September 14, 2014"
Bathinda	Hotels	Resorts	Bahia Resorts	15% discount on room rent	"September 15, 2013"	"September 14, 2014"
Yamuna Nagar	Hotels	Resorts	Balkrishan	15% discount on room rent	"September 15, 2013"	"September 14, 2014"
Amritsar	Hotels	Restaurant	Aurrum	15% discount on room rent	"October 1, 2013"	"September 30, 2014"
Amritsar	Hotels	Restaurant	Narula'S	15% discount flat	"October 1, 2013"	"September 30, 2014"
Amritsar	Hotels	Restaurant	M C International	20% discount on room rent       "October 1, 2013"	"September 30, 2014"
Amritsar	Retail	Jewellery	Peoples Jewelers	20% discount on 'Making Charges'	"October 1, 2013"	"September 30, 2014"
Amritsar	Hotels	Hotel	Hotel Sham Villa	15% discount tariff	"October 1, 2013"	"September 30, 2014"
Chandigarh	Retail	Shoes	Mahajan Shoes Store	15% discount	"October 1, 2013"	"September 30, 2014"
Chandigarh	Health & Wellness	Salon	Javed Habib	15% discount	"October 1, 2013"	"September 30, 2014"
Chandigarh	Retail	Shoes	Chief Shoes	10% discount	"October 1, 2013"	"September 30, 2014"
Chandigarh	Retail	Jewellery	Krishna Jewelers	10% discount	"October 1, 2013"	"September 30, 2014"
Chandigarh	Retail	Electronics	Kailash Electrical	15% discount	"October 1, 2013"	"September 30, 2014"
Chandigarh	Hotels	Hotel	Park Inn	20% discount  on food	"October 1, 2013"	"September 30, 2014"
Panipat	Hotels	Restaurant	B D Foods	10% discount food 	"October 1, 2013"	"September 30, 2014"
Panipat	Hotels	Restaurant	Hrs Hotels	15% discount food	"October 1, 2013"	"September 30, 2014"
Ludhiana	Hotels	Restaurant	Yellow Chilli	20% discount	"October 1, 2013"	"September 30, 2014"
Ludhiana	Hotels	Hotel	Mehal Hotel	25 % discount food 30 on room	"October 11, 2013"	"October 10, 2014"
Ludhiana	Hotels	Hotel	Imperial Hotel	"15% discount on restaurant, 10% on Bar and 30% on room rent"	"October 11, 2013"	"October 10, 2014"
Ludhiana	Retail	Departmental	Mandeep Stores	15% discount	"October 11, 2013"	"October 10, 2014"
Ludhiana	Health & Wellness	Salon	The Grooming Lounge	15% discount	"October 11, 2013"	"October 10, 2014"
Ludhiana	Hotels	Hotel	Keys Hotel	15% discount on room tariff	"October 11, 2013"	"October 10, 2014"
Ludhiana	Hotels	Restaurant	Knolls Cabins	15% discount on food	"October 11, 2013"	"October 10, 2014"
Panchkula	Hotels	Hotel	Allusion  Hotel	10% discount on food	"October 12, 2013"	"October 11, 2014"
Panchkula	Hotels	Hotel	K C Cross Road Hotel	10% discount on food	"October 12, 2013"	"October 11, 2014"
Panchkula	Hotels	Restaurant	Urban Dhaba	10% discount on food	"October 12, 2013"	"October 11, 2014"
Panchkula	Retail	Crockery	Victoria Crockery Store	10% discount	"October 12, 2013"	"October 11, 2014"
